Country,pop_est,continent,Longitude,Latitude,Coordinates
Aruba,103065,North America,-69.98267711,12.52088038,"-69.9827,12.52088"
Afghanistan,28400000,Asia,66.00473366,33.83523073,"66.00473,33.83523"
Angola,12799293,Africa,17.53736768,-12.29336054,"17.53737,-12.2934"
Anguilla,14436,North America,-63.06498927,18.2239595,"-63.065,18.22396"
Albania,3639453,Europe,20.04983396,41.14244989,"20.04983,41.14245"
Aland Islands,27153,Europe,19.95328768,60.21488688,"19.95329,60.21489"
Andorra,83888,Europe,1.560543779,42.54229102,"1.560544,42.54229"
United Arab Emirates,4798491,Asia,54.3001671,23.90528188,"54.30017,23.90528"
Argentina,40913584,South America,-65.17980693,-35.3813488,"-65.1798,-35.3813"
Armenia,2967004,Asia,44.92993276,40.28952569,"44.92993,40.28953"
American Samoa,65628,Oceania,-170.7180257,-14.30445997,"-170.718,-14.3045"
Antarctica,3802,Antarctica,19.92108951,-80.50857913,"19.92109,-80.5086"
Ashmore and Cartier Islands,-99,Oceania,123.5838379,-12.42993164,"123.5838,-12.4299"
French Southern and Antarctic Lands,140,Seven seas (open ocean),69.22666758,-49.24895485,"69.22667,-49.249"
Antigua and Barbuda,85632,North America,-61.79469343,17.2774996,"-61.7947,17.2775"
Australia,21262641,Oceania,134.4910001,-25.73288704,"134.491,-25.7329"
Austria,8210281,Europe,14.1264761,47.58549439,"14.12648,47.58549"
Azerbaijan,8238672,Asia,47.54599879,40.28827235,"47.546,40.28827"
Burundi,8988091,Africa,29.87512156,-3.359396657,"29.87512,-3.3594"
Belgium,10414336,Europe,4.640651139,50.63981576,"4.640651,50.63982"
Benin,8791832,Africa,2.327852544,9.641759702,"2.327853,9.64176"
Burkina Faso,15746232,Africa,-1.754566009,12.26953846,"-1.75457,12.26954"
Bangladesh,156050883,Asia,90.23812743,23.86731158,"90.23813,23.86731"
Bulgaria,7204687,Europe,25.21552909,42.76890318,"25.21553,42.7689"
Bahrain,727785,Asia,50.54196932,26.04205135,"50.54197,26.04205"
Canada,33487208,North America,-98.30777028,61.36206324,"-98.3078,61.36206"
Bahamas,309156,North America,-76.62843038,24.29036702,"-76.6284,24.29037"
Bosnia and Herzegovina,4613414,Europe,17.76876733,44.17450125,"17.76877,44.1745"
Saint-Barth̩lemy,7448,North America,-62.84067779,17.89880451,"-62.8407,17.8988"
Belarus,9648533,Europe,28.03209307,53.53131377,"28.03209,53.53131"
Belize,307899,North America,-88.71010486,17.20027509,"-88.7101,17.20028"
Bermuda,67837,North America,-64.7545589,32.31367802,"-64.7546,32.31368"
Bolivia,9775246,South America,-64.68538645,-16.70814787,"-64.6854,-16.7081"
Brazil,198739269,South America,-53.09783113,-10.78777702,"-53.0978,-10.7878"
Barbados,284589,North America,-59.559797,13.18145428,"-59.5598,13.18145"
Brunei Darussalam,388190,Asia,114.7220304,4.519689575,"114.722,4.51969"
Bhutan,691141,Asia,90.40188155,27.41106589,"90.40188,27.41107"
Botswana,1990876,Africa,23.79853368,-22.18403213,"23.79853,-22.184"
Central African Republic,4511488,Africa,20.46826831,6.56823297,"20.46827,6.568233"
Switzerland,7604467,Europe,8.208674706,46.79785878,"8.208675,46.79786"
Chile,16601707,South America,-71.38256213,-37.73070989,"-71.3826,-37.7307"
China,1338612970,Asia,103.8190735,36.56176546,"103.8191,36.56177"
C̫te d'Ivoire,20617068,Africa,-5.5692157,7.628426202,"-5.56922,7.628426"
Cameroon,18879301,Africa,12.73964156,5.69109849,"12.73964,5.691098"
Democratic Republic of the Congo,68692542,Africa,23.64396107,-2.87746289,"23.64396,-2.87746"
Republic of Congo,4012809,Africa,15.21965762,-0.837874631,"15.21966,-0.83787"
Cook Islands,11870,Oceania,-159.7872422,-21.21927288,"-159.787,-21.2193"
Colombia,45644023,South America,-73.08114582,3.913834307,"-73.0811,3.913834"
Comoros,752438,Africa,43.68253968,-11.87783444,"43.68254,-11.8778"
Cape Verde,429474,Africa,-23.9598882,15.95523324,"-23.9599,15.95523"
Costa Rica,4253877,North America,-84.19208768,9.976344638,"-84.1921,9.976345"
Cuba,11451652,North America,-79.01605384,21.62289528,"-79.0161,21.6229"
Cura̤ao,141766,North America,-68.97119369,12.19551675,"-68.9712,12.19552"
Cayman Islands,49035,North America,-80.91213321,19.42896497,"-80.9121,19.42896"
Northern Cyprus,265100,Asia,33.5684813,35.26277486,"33.56848,35.26277"
Cyprus,531640,Asia,33.0060022,34.91667211,"33.006,34.91667"
Czech Republic,10211904,Europe,15.31240163,49.73341233,"15.3124,49.73341"
Germany,82329758,Europe,10.38578051,51.10698181,"10.38578,51.10698"
Djibouti,516055,Africa,42.5606754,11.74871806,"42.56068,11.74872"
Dominica,72660,North America,-61.357726,15.4394702,"-61.3577,15.43947"
Denmark,5500510,Europe,10.02800992,55.98125296,"10.02801,55.98125"
Dominican Republic,9650054,North America,-70.50568896,18.89433082,"-70.5057,18.89433"
Algeria,34178188,Africa,2.617323009,28.15893849,"2.617323,28.15894"
Ecuador,14573101,South America,-78.75201923,-1.423816125,"-78.752,-1.42382"
Egypt,83082869,Africa,29.86190099,26.49593311,"29.8619,26.49593"
Eritrea,5647168,Africa,38.84617011,15.36186618,"38.84617,15.36187"
Spain,40525002,Europe,-3.647550473,40.24448698,"-3.64755,40.24449"
Estonia,1299371,Europe,25.54248537,58.67192972,"25.54249,58.67193"
Ethiopia,85237338,Africa,39.60080098,8.622786793,"39.6008,8.622787"
Finland,5250275,Europe,26.2746656,64.49884603,"26.27467,64.49885"
Fiji,944720,Oceania,165.4519543,-17.42858032,"165.452,-17.4286"
Falkland Islands,3140,South America,-59.35238956,-51.74483954,"-59.3524,-51.7448"
France,64057792,Europe,-2.761729445,42.17344011,"-2.76173,42.17344"
Faeroe Islands,48856,Europe,-6.880954234,62.05385403,"-6.88095,62.05385"
Federated States of Micronesia,107434,Oceania,153.2394379,7.452468137,"153.2394,7.452468"
Gabon,1514993,Africa,11.7886287,-0.58660025,"11.78863,-0.5866"
United Kingdom,62262000,Europe,-2.865631641,54.12387156,"-2.86563,54.12387"
Georgia,4615807,Asia,43.50780252,42.16855755,"43.5078,42.16856"
Guernsey,68633,Europe,-2.572390636,49.46809761,"-2.57239,49.4681"
Ghana,23832495,Africa,-1.216765658,7.953456435,"-1.21677,7.953456"
Guinea,10057975,Africa,-10.94066612,10.43621593,"-10.9407,10.43622"
The Gambia,1782893,Africa,-15.39601295,13.44965244,"-15.396,13.44965"
Guinea-Bissau,1533964,Africa,-14.94972445,12.04744948,"-14.9497,12.04745"
Equatorial Guinea,650702,Africa,10.34137924,1.705551355,"10.34138,1.705551"
Greece,10737428,Europe,22.95555794,39.07469623,"22.95556,39.0747"
Grenada,90739,North America,-61.68220189,12.11725044,"-61.6822,12.11725"
Greenland,57600,North America,-41.34191127,74.71051289,"-41.3419,74.71051"
Guatemala,13276517,North America,-90.36482009,15.69403664,"-90.3648,15.69404"
Guam,178430,Oceania,144.7679102,13.44165626,"144.7679,13.44166"
Guyana,772298,South America,-58.98202459,4.79378034,"-58.982,4.79378"
Hong Kong,7061200,Asia,114.1138045,22.39827737,"114.1138,22.39828"
Heard I. and McDonald Islands,-99,Seven seas (open ocean),73.5205171,-53.08724656,"73.52052,-53.0872"
Honduras,7792854,North America,-86.6151661,14.82688165,"-86.6152,14.82688"
Croatia,4489409,Europe,16.40412899,45.08047631,"16.40413,45.08048"
Haiti,9035536,North America,-72.68527509,18.93502563,"-72.6853,18.93503"
Hungary,9905596,Europe,19.39559116,47.16277506,"19.39559,47.16278"
Indonesia,240271522,Asia,117.2401137,-2.215054563,"117.2401,-2.21505"
Isle of Man,76512,Europe,-4.538739523,54.22418911,"-4.53874,54.22419"
India,1166079220,Asia,79.6119761,22.88578212,"79.61198,22.88578"
Indian Ocean Territories,2069,Asia,104.851898,-10.6478515,"104.8519,-10.6479"
British Indian Ocean Territory,4000,Seven seas (open ocean),72.44541229,-7.330597507,"72.44541,-7.3306"
Ireland,4203200,Europe,-8.137935687,53.1754487,"-8.13794,53.17545"
Iran,66429284,Asia,54.27407004,32.57503292,"54.27407,32.57503"
Iraq,31129225,Asia,43.74353149,33.03970582,"43.74353,33.03971"
Iceland,306694,Europe,-18.57396167,64.99575386,"-18.574,64.99575"
Israel,7233701,Asia,35.00444693,31.46110101,"35.00445,31.4611"
Italy,58126212,Europe,12.07001339,42.79662641,"12.07001,42.79663"
Jamaica,2825928,North America,-77.31482593,18.15694878,"-77.3148,18.15695"
Jersey,91626,Europe,-2.126899379,49.21837377,"-2.1269,49.21837"
Jordan,6342948,Asia,36.77136104,31.24579091,"36.77136,31.24579"
Japan,127078679,Asia,138.0308956,37.59230135,"138.0309,37.5923"
Siachen Glacier,6000,Asia,77.18011865,35.39236325,"77.18012,35.39236"
Kazakhstan,15399437,Asia,67.29149357,48.15688067,"67.29149,48.15688"
Kenya,39002772,Africa,37.79593973,0.599880215,"37.79594,0.59988"
Kyrgyzstan,5431747,Asia,74.54165513,41.46221943,"74.54166,41.46222"
Cambodia,14494293,Asia,104.9069432,12.72004786,"104.9069,12.72005"
Kiribati,112850,Oceania,-45.61110513,0.860015032,"-45.6111,0.860015"
Saint Kitts and Nevis,40131,North America,-62.68755265,17.2645995,"-62.6876,17.2646"
Republic of Korea,48508972,Asia,127.8391609,36.38523983,"127.8392,36.38524"
Kosovo,1804838,Europe,20.87249811,42.57078707,"20.8725,42.57079"
Kuwait,2691158,Asia,47.58700459,29.33431262,"47.587,29.33431"
Lao PDR,6834942,Asia,103.7377241,18.50217433,"103.7377,18.50217"
Lebanon,4017095,Asia,35.88016072,33.92306631,"35.88016,33.92307"
Liberia,3441790,Africa,-9.322075727,6.452784917,"-9.32208,6.452785"
Libya,6310434,Africa,18.00866169,27.03094495,"18.00866,27.03094"
Saint Lucia,160267,North America,-60.96969923,13.89479481,"-60.9697,13.89479"
Liechtenstein,34761,Europe,9.535743118,47.13665835,"9.535743,47.13666"
Sri Lanka,21324791,Asia,80.70108238,7.612665092,"80.70108,7.612665"
Lesotho,2130819,Africa,28.22723131,-29.58003188,"28.22723,-29.58"
Lithuania,3555179,Europe,23.88719355,55.32610984,"23.88719,55.32611"
Luxembourg,491775,Europe,6.071822011,49.76725361,"6.071822,49.76725"
Latvia,2231503,Europe,24.91235983,56.85085163,"24.91236,56.85085"
Macao,559846,Asia,113.5093212,22.22311688,"113.5093,22.22312"
Saint-Martin,36661,North America,-63.05972851,18.08888611,"-63.0597,18.08889"
Morocco,34859364,Africa,-8.456157948,29.83762955,"-8.45616,29.83763"
Monaco,32965,Europe,7.406276769,43.75274627,"7.406277,43.75275"
Moldova,4320748,Europe,28.45673372,47.19498804,"28.45673,47.19499"
Madagascar,20653556,Africa,46.70473674,-19.37189587,"46.70474,-19.3719"
Maldives,396334,Seven seas (open ocean),73.45713004,3.7287092,"73.45713,3.728709"
Mexico,111211789,North America,-102.5234517,23.94753724,"-102.523,23.94754"
Marshall Islands,64522,Oceania,170.3397612,7.003763583,"170.3398,7.003764"
Macedonia,2066718,Europe,21.68211346,41.59530893,"21.68211,41.59531"
Mali,12666987,Africa,-3.542690649,17.34581581,"-3.54269,17.34582"
Malta,405165,Europe,14.40523316,35.92149632,"14.40523,35.9215"
Myanmar,48137741,Asia,96.48843321,21.18566599,"96.48843,21.18567"
Montenegro,672180,Europe,19.23883939,42.78890259,"19.23884,42.7889"
Mongolia,3041142,Asia,103.0529976,46.82681544,"103.053,46.82682"
Northern Mariana Islands,88662,Oceania,145.6196965,15.82927563,"145.6197,15.82928"
Mozambique,21669278,Africa,35.53367543,-17.27381643,"35.53368,-17.2738"
Mauritania,3129486,Africa,-10.34779815,20.25736706,"-10.3478,20.25737"
Montserrat,5097,North America,-62.18518546,16.73941406,"-62.1852,16.73941"
Mauritius,1284264,Seven seas (open ocean),57.57120551,-20.27768704,"57.57121,-20.2777"
Malawi,14268711,Africa,34.28935599,-13.21808088,"34.28936,-13.2181"
Malaysia,25715819,Asia,109.6976228,3.789868456,"109.6976,3.789868"
Namibia,2108665,Africa,17.20963567,-22.13032568,"17.20964,-22.1303"
New Caledonia,227436,Oceania,165.6849237,-21.29991806,"165.6849,-21.2999"
Niger,15306252,Africa,9.385458815,17.41912493,"9.385459,17.41912"
Norfolk Island,2141,Oceania,167.9492168,-29.0514609,"167.9492,-29.0515"
Nigeria,149229090,Africa,8.089438948,9.594114522,"8.089439,9.594115"
Nicaragua,5891199,North America,-85.0305297,12.84709429,"-85.0305,12.84709"
Niue,1398,Oceania,-169.8699468,-19.04945708,"-169.87,-19.0495"
Netherlands,16715999,Europe,5.28144793,52.1007899,"5.281448,52.10079"
Norway,4676305,Europe,15.34834656,68.75015572,"15.34835,68.75016"
Nepal,28563377,Asia,83.9158264,28.24891365,"83.91583,28.24891"
Nauru,14019,Oceania,166.9325682,-0.51912639,"166.9326,-0.51913"
New Zealand,4213418,Oceania,171.4849235,-41.81113557,"171.4849,-41.8111"
Oman,3418085,Asia,56.09166155,20.60515333,"56.09166,20.60515"
Pakistan,176242949,Asia,69.33957937,29.9497515,"69.33958,29.94975"
Panama,3360474,North America,-80.11915156,8.517507975,"-80.1192,8.517508"
Pitcairn Islands,48,Oceania,-128.317042,-24.36500535,"-128.317,-24.365"
Peru,29546963,South America,-74.38242685,-9.152803813,"-74.3824,-9.1528"
Philippines,97976603,Asia,122.8839325,11.77536778,"122.8839,11.77537"
Palau,20796,Oceania,134.4080797,7.287427836,"134.4081,7.287428"
Papua New Guinea,6057263,Oceania,145.2074475,-6.464166461,"145.2074,-6.46417"
Poland,38482919,Europe,19.39012835,52.12759564,"19.39013,52.1276"
Puerto Rico,3971020,North America,-66.47307604,18.22813055,"-66.4731,18.22813"
Dem. Rep. Korea,22665345,Asia,127.1924797,40.15350311,"127.1925,40.1535"
Portugal,10707924,Europe,-8.501043613,39.59550671,"-8.50104,39.59551"
Paraguay,6995655,South America,-58.40013703,-23.22823913,"-58.4001,-23.2282"
Palestine,4119083,Asia,35.19628705,31.91613893,"35.19629,31.91614"
French Polynesia,287032,Oceania,-144.9049439,-14.72227409,"-144.905,-14.7223"
Qatar,833285,Asia,51.18479632,25.30601188,"51.1848,25.30601"
Romania,22215421,Europe,24.97293039,45.85243127,"24.97293,45.85243"
Russian Federation,140041247,Europe,96.68656112,61.98052209,"96.68656,61.98052"
Rwanda,10473282,Africa,29.91988515,-1.990338317,"29.91989,-1.99034"
Western Sahara,-99,Africa,-12.21982755,24.22956739,"-12.2198,24.22957"
Saudi Arabia,28686633,Asia,44.53686271,24.12245841,"44.53686,24.12246"
Sudan,25946220,Africa,29.94046812,15.99035669,"29.94047,15.99036"
South Sudan,10625176,Africa,30.24790002,7.308779449,"30.2479,7.308779"
Senegal,13711597,Africa,-14.4734924,14.36624173,"-14.4735,14.36624"
Singapore,4657542,Asia,103.8172559,1.358760871,"103.8173,1.358761"
South Georgia and South Sandwich Islands,30,Seven seas (open ocean),-36.43318388,-54.46488248,"-36.4332,-54.4649"
Saint Helena,7637,Seven seas (open ocean),-9.547794159,-12.40355951,"-9.54779,-12.4036"
Solomon Islands,595613,Oceania,159.6328767,-8.921780217,"159.6329,-8.92178"
Sierra Leone,6440053,Africa,-11.79271247,8.56329593,"-11.7927,8.563296"
El Salvador,7185218,North America,-88.87164469,13.73943744,"-88.8716,13.73944"
San Marino,30324,Europe,12.45922334,43.94186747,"12.45922,43.94187"
Somaliland,3500000,Africa,46.25198395,9.733454963,"46.25198,9.733455"
Somalia,9832017,Africa,45.70714487,4.750628761,"45.70714,4.750629"
Saint Pierre and Miquelon,7051,North America,-56.30319779,46.91918789,"-56.3032,46.91919"
Serbia,7379339,Europe,20.78958334,44.2215032,"20.78958,44.2215"
Ṣo Tom̩ and Principe,212679,Africa,6.724296579,0.443914449,"6.724297,0.443914"
Suriname,481267,South America,-55.9123457,4.13055413,"-55.9123,4.130554"
Slovakia,5463046,Europe,19.47905218,48.70547528,"19.47905,48.70548"
Slovenia,2005692,Europe,14.80444238,46.11554772,"14.80444,46.11555"
Sweden,9059651,Europe,16.74558049,62.77966519,"16.74558,62.77967"
Swaziland,1123913,Africa,31.4819369,-26.55843045,"31.48194,-26.5584"
Sint Maarten,37429,North America,-63.05713363,18.05081728,"-63.0571,18.05082"
Seychelles,87476,Seven seas (open ocean),55.47603279,-4.660990935,"55.47603,-4.66099"
Syria,20178485,Asia,38.50788204,35.02547389,"38.50788,35.02547"
Turks and Caicos Islands,22942,North America,-71.97387881,21.83047572,"-71.9739,21.83048"
Chad,10329208,Africa,18.64492513,15.33333759,"18.64493,15.33334"
Togo,6019877,Africa,0.96232845,8.525313561,"0.962328,8.525314"
Thailand,65905410,Asia,101.0028813,15.11815794,"101.0029,15.11816"
Tajikistan,7349145,Asia,71.01362631,38.5304539,"71.01363,38.53045"
Turkmenistan,4884887,Asia,59.37100021,39.11554137,"59.371,39.11554"
Timor-Leste,1131612,Asia,125.8443898,-8.82889162,"125.8444,-8.82889"
Tonga,120898,Oceania,-174.8098734,-20.42843174,"-174.81,-20.4284"
Trinidad and Tobago,1310000,North America,-61.26567923,10.45733408,"-61.2657,10.45733"
Tunisia,10486339,Africa,9.552883589,34.11956246,"9.552884,34.11956"
Turkey,76805524,Asia,35.16895346,39.0616029,"35.16895,39.0616"
Taiwan,22974347,Asia,120.9542728,23.7539928,"120.9543,23.75399"
Tanzania,41048532,Africa,34.81309981,-6.275654083,"34.8131,-6.27565"
Uganda,32369558,Africa,32.36907971,1.274692987,"32.36908,1.274693"
Ukraine,45700395,Europe,31.38326469,48.99656673,"31.38326,48.99657"
Uruguay,3494382,South America,-56.01807053,-32.79951534,"-56.0181,-32.7995"
United States,313973000,North America,-112.4616737,45.6795472,"-112.462,45.67955"
Uzbekistan,27606007,Asia,63.14001528,41.75554225,"63.14002,41.75554"
Vatican,832,Europe,12.43387177,41.90174985,"12.43387,41.90175"
Saint Vincent and the Grenadines,104574,North America,-61.20129695,13.22472269,"-61.2013,13.22472"
Venezuela,26814843,South America,-66.18184123,7.124224213,"-66.1818,7.124224"
British Virgin Islands,24491,North America,-64.47146992,18.52585755,"-64.4715,18.52586"
United States Virgin Islands,109825,North America,-64.80301538,17.95500624,"-64.803,17.95501"
Vietnam,86967524,Asia,106.299147,16.6460167,"106.2991,16.64602"
Vanuatu,218519,Oceania,167.6864464,-16.22640909,"167.6864,-16.2264"
Wallis and Futuna Islands,15289,Oceania,-177.3483483,-13.88737039,"-177.348,-13.8874"
Samoa,219998,Oceania,-172.1648506,-13.75324346,"-172.165,-13.7532"
Yemen,23822783,Asia,47.58676189,15.90928005,"47.58676,15.90928"
South Africa,49052489,Africa,25.08390093,-29.00034095,"25.0839,-29.0003"
Zambia,11862740,Africa,27.77475946,-13.45824152,"27.77476,-13.4582"
Zimbabwe,12619600,Africa,29.8514412,-19.00420419,"29.85144,-19.0042"
